tethered	deleted
36.365	44.735
43.339	21.639
19.852	30.673
44.542	15.413
54.745	30.523
29.972	34.091
16.35	43.36
15.672	42.118
27.224	39.461
19.186	31.749
14.879	33.448
25.479	15.391
15.304	48.655
46.718	41.307
16.689	17.045
3.266	6.9865
25.227	24.672
16.332	29.784
20.48	28.08
9.05	48.049
19.421	60.219
13.583	7.7648
21.886	39.525
2.5907	47.08
36.022	28.145
51.189	29.195
36.772	36.141
34.992	38.503
4.7387	45.062
34.365	57.198
8.9051	46.977
33.17	49.421
25.915	40.105
8.1115	25.58
32.169	41.677
14.593	25.539
28.555	54.483
12.074	28.346
29.343	8.4532
18.482	26.268
37.454	10.572
37.002	9.4994
12.303	29.288
13.24	66.41
13.249	51.536
18.062	22.464
20.935	38.086
22.741	63.318
16.448	67.032
21.183	33.263
35.566	14.772
21.477	17.962
29.766	32.787
20.835	26.195
38.291	30.272
36.329	15.061
32.281	13.667
56.354	31.018
8.3186	0.89854
28.28	24.791
28.834	39.684
35.898	20.401
5.04	12.308
23.891	22.234
9.9665	13.11
8.136	34.849
22.487	17.546
39.481	29.001
3.8329	33.87
10.635	4.4412
27.324	43.832
8.3988	13.689
9.617	31.255
36.524	55.151
9.7511	54.099
26.434	55.732
31.538	65.214
13.805	27.649
40.364	30.91
13.765	16.712
39.917	8.9022
20.352	35.798
43.406	59.223
14.542	77.21
14.298	52.031
11.334	36.713
18.709	32.711
18.755	30.398
33.693	16.043
25.739	26.854
29.013	36.369
20.645	12.797
21.276	41.58
5.9611	19.515
13.124	22.464
2.8193	56.244
2.0679	14.353
33.276	33.513
15.676	31.972
51.201	31.167
43.134	25.5
21.567	16.442
17.582	32.694
16.641	19.26
32.339	41.653
23.647	53.358
30.335	13.526
24.77	40.721
33.516	24.269
25.34	9.2345
15.505	49.853
20.309	6.4928
32.092	25.864
26.787	28.319
26.775	30.561
10.776	61.239
11.004	38.534
41.385	59.927
25.736	17.007
34.492	47.828
21.583	28.53
13.305	43.787
26.797	16.155
24.355	8.3576
22.847	28.662
12.618	35.266
10.274	8.9664
17.157	17.385
24.482	19.755
11.289	24.983
21.415	8.4259
37.1	21.311
12.767	5.4152
41.081	11.56
42.843	12.178
14.691	31.3
31.037	12.232
18.58	9.5774
9.5225	28.76
17.872	20.032
2.1287	29.229
31.011	18.846
23.382	13.74
30.523	43.585
22.361	59.388
12.52	46.053
15.807	69.239
38.936	69.658
45.28	56.804
48.39	37.41
28.531	61.974
10.304	36.746
43.792	38.58
22.817	41.736
25.143	24.748
10.034	63.447
34.379	28.146
20.388	4.7371
18.333	42.312
16.475	24.416
14.838	25.362
16.925	34.654
7.6097	30.673
8.5972	26.815
39.569	13.245
14.832	47.789
34.912	53.687
8.404	11.099
20.744	16.823
28.616	52.533
11.397	13.313
34.908	25.822
36.641	26.858
21.45	13.56
26.849	27.937
22.504	33.45
23.551	33.675
11.694	26.829
27.578	15.909
37.856	25.677
50.384	20.884
11.733	21.07
3.2292	18.353
50.115	22.399
23.165	31.483
34.645	22.422
57.553	22.569
14.17	26.559
42.915	11.736
26.9	27.958
36.733	10.089
28.572	23.277
9.2211	23.411
21.101	11.329
16.429	27.403
26.097	17.259
29.114	17.739
9.1565	31.534
5.5081	48.447
32.157	18.461
25.194	27.162
12.696	11.135
12.865	19.165
8.3692	22.277
10.116	19.935
25.649	32.045
7.7272	7.3376
8.8924	8.7739
13.367	26.315
8.8073	8.1478
9.4782	33.584
2.6905	34.817
7.8993	24.465
16.721	26.255
21.847	17.273
27.615	25.104
37.858	13.828
31.635	40.934
33.595	10.715
24.317	36.994
36.966	21.801
46.626	34.807
14.08	22.551
17.367	22.598
41.136	22.429
26.681	13.503
20.889	25.087
28.112	11.481
43.956	39.978
34.565	13.938
16.801	35.429
19.772	24.242
24.399	5.4147
30.989	56.072
24.012	43.147
25.131	45.783
15.256	17.022
26.995	7.4711
12.677	10.123
34.498	19.353
22.593	40.158
20.047	32.609
26.883	38.287
22.492	32.811
4.696	25.023
30.539	12.864
25.255	7.15
27.198	32.496
35.871	29.637
10.349	23.877
22.36	29.436
33.507	48.452
38.754	25.65
18.597	28.657
19.073	14.639
29.209	21.73
17.614	16.083
33.616	18.025
24.302	37.693
43.348	8.7568
3.6673	44.305
14.567	52.726
30.652	20.346
34.713	32.841
6.2298	42.22
41.387	4.3819
31.978	10.66
24.299	44.897
34.611	44.962
17.731	30.911
50.492	27.693
37.919	22.229
28.737	17.238
39.431	35.227
41.352	22.357
9.981	25.711
39.724	30.669
32.874	27.298
15.635	36.41
11.888	24.226
22.48	12.655
31.152	21.938
24.878	26.013
28.596	26.998
32.24	47.19
15.063	21.714
23.793	18.16
31.167	25.108
21.806	15.328
35.877	17.986
21.48	32.988
4.6261	13.225
11.136	33.692
38.252	7.3717
50.255	46.713
7.5231	15.148
14.342	13.241
6.4534	18.311
25.314	41.996
36.103	22.091
16.956	15.193
30.804	33.539
19.118	41.272
5.5147	20.674
16.288	15.58
19.13	48.487
12.43	12.559
12.006	20.934
24.925	9.8257
9.2129	13.701
20.14	21.034
4.994	19.359
10.52	14.004
52.292	40.943
22.685	19.077
31.69	37.275
41.43	43.754
54.883	14.302
34.006	45.231
28.475	37.433
12.813	32.071
2.1756	9.8475
38.155	6.1585
24.876	14
1.5356	26.236
22.762	23.982
22.242	18.854
26.039	18.247
13.967	17.06
14.831	27
33.078	26.772
54.397	26.059
24.843	24.38
18.991	14.63
7.7103	9.173
11.918	17.273
15.978	22.472
7.814	11.29
15.858	18.941
21.908	11.406
36.645	27.099
30.313	16.792
21.414	11.689
43.583	33.585
48.276	11.384
41.932	17.385
24.449	18.576
